Date,Price,Open,High,Low,Change %
01/04/2000,135.57,135.57,135.57,135.57,-0.44
01/05/2000,137.02,137.02,137.02,137.02,1.07
01/06/2000,138.44,138.44,138.44,138.44,1.04
01/07/2000,137.39,137.39,137.39,137.39,-0.76
01/10/2000,136.88,136.88,136.88,136.88,-0.37
01/11/2000,138.41,138.41,138.41,138.41,1.12
01/12/2000,138.2,138.2,138.2,138.2,-0.15
01/13/2000,137.11,137.11,137.11,137.11,-0.79
01/14/2000,135.81,135.81,135.81,135.81,-0.95
01/17/2000,135.34,135.34,135.34,135.34,-0.35
01/18/2000,136.06,136.06,136.06,136.06,0.53
01/19/2000,136.9,136.9,136.9,136.9,0.62
01/20/2000,135.94,135.94,135.94,135.94,-0.7
01/21/2000,136.18,136.18,136.18,136.18,0.18
01/24/2000,135.8,135.8,135.8,135.8,-0.28
01/25/2000,136.13,136.13,136.13,136.13,0.24
01/26/2000,136.2,136.2,136.2,136.2,0.05
01/27/2000,135.9,135.9,135.9,135.9,-0.22
01/28/2000,135.36,135.36,135.36,135.36,-0.4
01/31/2000,135.73,135.73,135.73,135.73,0.27
02/01/2000,136.09,136.09,136.09,136.09,0.27
02/02/2000,136.58,136.58,136.58,136.58,0.36
02/03/2000,136.5,136.5,136.5,136.5,-0.06
02/04/2000,136.43,136.43,136.43,136.43,-0.05
02/07/2000,136.4,136.4,136.4,136.4,-0.02
02/08/2000,136.4,136.4,136.4,136.4,0.0
02/09/2000,135.71,135.71,135.71,135.71,-0.51
02/10/2000,135.35,135.35,135.35,135.35,-0.27
02/11/2000,134.68,134.68,134.68,134.68,-0.5
02/14/2000,136.21,136.21,136.21,136.21,1.14
02/15/2000,136.15,136.15,136.15,136.15,-0.04
02/16/2000,135.97,135.97,135.97,135.97,-0.13
02/17/2000,136.28,136.28,136.28,136.28,0.23
02/18/2000,136.4,136.4,136.4,136.4,0.09
02/21/2000,136.82,136.82,136.82,136.82,0.31
02/22/2000,137.06,137.06,137.06,137.06,0.18
02/23/2000,137.17,137.17,137.17,137.17,0.08
02/24/2000,138.14,138.14,138.14,138.14,0.71
02/25/2000,137.28,137.28,137.28,137.28,-0.62
02/28/2000,137.04,137.04,137.04,137.04,-0.17
02/29/2000,136.63,136.63,136.63,136.63,-0.3
03/01/2000,136.25,136.25,136.25,136.25,-0.28
03/02/2000,135.26,135.26,135.26,135.26,-0.73
03/03/2000,135.28,135.28,135.28,135.28,0.01
03/06/2000,135.23,135.23,135.23,135.23,-0.04
03/07/2000,135.12,135.12,135.12,135.12,-0.08
03/08/2000,135.18,135.18,135.18,135.18,0.04
03/09/2000,135.59,135.59,135.59,135.59,0.3
03/10/2000,135.23,135.23,135.23,135.23,-0.27
03/13/2000,135.36,135.36,135.36,135.36,0.1
03/14/2000,135.09,135.09,135.09,135.09,-0.2
03/15/2000,135.1,135.1,135.1,135.1,0.01
03/16/2000,135.0,135.0,135.0,135.0,-0.07
03/17/2000,134.96,134.96,134.96,134.96,-0.03
03/20/2000,135.05,135.05,135.05,135.05,0.07
03/21/2000,134.87,134.87,134.87,134.87,-0.13
03/22/2000,134.42,134.42,134.42,134.42,-0.33
03/23/2000,134.05,134.05,134.05,134.05,-0.28
03/24/2000,133.89,133.89,133.89,133.89,-0.12
03/27/2000,134.32,134.32,134.32,134.32,0.32
03/28/2000,134.34,134.34,134.34,134.34,0.01
03/29/2000,133.99,133.99,133.99,133.99,-0.26
03/30/2000,133.75,133.75,133.75,133.75,-0.18
03/31/2000,133.51,133.51,133.51,133.51,-0.18
04/03/2000,134.39,134.39,134.39,134.39,0.66
04/04/2000,134.5,134.5,134.5,134.5,0.08
04/05/2000,134.67,134.67,134.67,134.67,0.13
04/06/2000,134.25,134.25,134.25,134.25,-0.31
04/07/2000,133.88,133.88,133.88,133.88,-0.28
04/10/2000,134.06,134.06,134.06,134.06,0.13
04/11/2000,134.04,134.04,134.04,134.04,-0.01
04/12/2000,133.85,133.85,133.85,133.85,-0.14
04/13/2000,133.64,133.64,133.64,133.64,-0.16
04/14/2000,134.2,134.2,134.2,134.2,0.42
04/17/2000,134.49,134.49,134.49,134.49,0.22
04/18/2000,134.13,134.13,134.13,134.13,-0.27
04/19/2000,134.0,134.0,134.0,134.0,-0.1
04/20/2000,133.95,133.95,133.95,133.95,-0.04
04/21/2000,133.9,133.9,133.9,133.9,-0.04
04/24/2000,133.93,133.93,133.93,133.93,0.02
04/25/2000,133.86,133.86,133.86,133.86,-0.05
04/26/2000,133.83,133.83,133.83,133.83,-0.02
04/27/2000,134.12,134.12,134.12,134.12,0.22
04/28/2000,134.03,134.03,134.03,134.03,-0.07
05/01/2000,134.06,134.06,134.06,134.06,0.02
05/02/2000,134.04,134.04,134.04,134.04,-0.01
05/03/2000,134.05,134.05,134.05,134.05,0.01
05/04/2000,134.21,134.21,134.21,134.21,0.12
05/05/2000,134.24,134.24,134.24,134.24,0.02
05/08/2000,134.02,134.02,134.02,134.02,-0.16
05/09/2000,133.98,133.98,133.98,133.98,-0.03
05/10/2000,133.97,133.97,133.97,133.97,-0.01
05/11/2000,134.39,134.39,134.39,134.39,0.31
05/12/2000,134.49,134.49,134.49,134.49,0.07
05/15/2000,134.71,134.71,134.71,134.71,0.16
05/16/2000,134.63,134.63,134.63,134.63,-0.06
05/17/2000,134.75,134.75,134.75,134.75,0.09
05/18/2000,135.12,135.12,135.12,135.12,0.27
05/19/2000,135.5,135.5,135.5,135.5,0.28
05/22/2000,136.64,136.64,136.64,136.64,0.84
05/23/2000,137.01,137.01,137.01,137.01,0.27
05/24/2000,136.89,136.89,136.89,136.89,-0.09
05/25/2000,136.5,136.5,136.5,136.5,-0.28
05/26/2000,137.13,137.13,137.13,137.13,0.46
05/29/2000,137.41,137.41,137.41,137.41,0.2
05/30/2000,137.3,137.3,137.3,137.3,-0.08
05/31/2000,136.46,136.46,136.46,136.46,-0.61
06/01/2000,136.82,136.82,136.82,136.82,0.26
06/02/2000,135.93,135.93,135.93,135.93,-0.65
06/05/2000,135.01,135.01,135.01,135.01,-0.68
06/06/2000,134.89,134.89,134.89,134.89,-0.09
06/07/2000,134.48,134.48,134.48,134.48,-0.3
06/08/2000,134.76,134.76,134.76,134.76,0.21
06/09/2000,134.71,134.71,134.71,134.71,-0.04
06/12/2000,134.51,134.51,134.51,134.51,-0.15
06/13/2000,134.61,134.61,134.61,134.61,0.07
06/14/2000,134.62,134.62,134.62,134.62,0.01
06/15/2000,134.68,134.68,134.68,134.68,0.04
06/16/2000,134.87,134.87,134.87,134.87,0.14
06/19/2000,135.56,135.56,135.56,135.56,0.51
06/20/2000,135.25,135.25,135.25,135.25,-0.23
06/21/2000,135.22,135.22,135.22,135.22,-0.02
06/22/2000,135.16,135.16,135.16,135.16,-0.04
06/23/2000,135.23,135.23,135.23,135.23,0.05
06/26/2000,135.08,135.08,135.08,135.08,-0.11
06/27/2000,135.09,135.09,135.09,135.09,0.01
06/28/2000,134.85,134.85,134.85,134.85,-0.18
06/29/2000,134.66,134.66,134.66,134.66,-0.14
06/30/2000,134.69,134.69,134.69,134.69,0.02
07/03/2000,134.54,134.54,134.54,134.54,-0.11
07/04/2000,134.71,134.71,134.71,134.71,0.13
07/05/2000,134.92,134.92,134.92,134.92,0.16
07/06/2000,134.92,134.92,134.92,134.92,0.0
07/07/2000,135.1,135.1,135.1,135.1,0.13
07/10/2000,135.15,135.15,135.15,135.15,0.04
